time_us,ax,ay,az,D
197555045,97.44,-60.25,-58.25,260
197561341,141.22,-2.94,117.33,260
197567438,4.94,6.83,121.56,262.57
197573521,-158.87,96.38,-10.47,262.57
197579618,96.97,-112.27,-108.85,262.57
197585723,97.79,77.9,-102.85,260
197591819,85.08,-87.2,-108.74,261.29
197597916,126.04,-81.2,7.53,262.57
197604006,-65.08,61.66,106.62,265.14
197613990,-154.63,148.86,15.77,261.29
197620483,28.48,-75.08,-23.3,260
197626574,196.53,-12,-18.01,257.43
197632670,166.05,-2.12,21.42,257.43
197638760,30.83,14.24,32.71,263.86
197644849,-50.48,-28.24,-51.43,262.57
197650939,-30.6,52.37,-42.36,263.86
197657029,-14.47,16.71,-85.08,260
197663117,71.31,-102.62,8.71,261.29
197669207,110.74,-27.77,91.91,263.86
197675304,-38.48,102.38,105.44,263.86
197681408,-188.17,129.21,149.34,261.29
197687521,-153.1,-48.13,-93.79,257.43
197695817,144.98,41.89,-25.07,260
197701933,3.77,-15.65,4.47,261.29
197708009,-88.73,-108.62,17.42,263.86
197714106,-155.69,6.24,7.18,262.57
197720189,-60.72,90.85,-14,262.57
197726290,-2.24,87.08,-71.2,256.15
197732372,155.93,-40.25,-19.06,260
197738467,186.4,43.78,65.43,260
197744563,-34.24,108.62,18.36,263.86
197750660,-149.34,43.19,-82.49,263.86
197756757,-32.83,-32.24,-112.03,261.29
197762854,110.85,22.59,-35.89,260
197768950,72.37,7.77,48.95,262.57
197775033,-24.24,-66.61,91.55,262.57
197784715,-95.91,138.16,-43.42,262.57
197791119,82.49,-95.91,-81.55,257.43
197797214,182.05,55.31,-103.32,260
197803316,190.76,-88.61,-77.55,257.43
197809413,22.12,15.06,54.84,263.86
197815504,-120.62,143.8,70.49,266.43
197821606,-210.18,37.54,-33.77,263.86
197827719,-11.65,-133.33,-66.49,260
197833816,131.21,2.82,52.6,257.43
197839905,106.74,-15.65,100.38,260
197846007,18.71,38.01,102.15,261.29
197852104,-186.52,56.25,-24.48,262.57
197858201,-126.51,10.59,-98.14,260
197866249,27.54,-62.25,-123.45,257.43
197872367,143.22,-115.09,-49.43,261.29
197878473,74.96,20.24,105.44,262.57
197884569,-142.04,145.92,125.92,265.14
197890681,-152.4,173.46,-9.65,262.57
197896778,150.28,-105.91,-62.72,257.43
197902882,215.59,-23.3,-113.68,257.43
197908986,225.24,5.3,-2.71,261.29
197915068,80.85,-40.01,-15.77,263.86
197921156,-155.46,3.06,5.3,263.86
197927252,-180.29,36.25,-12.94,263.86
197933350,-40.36,-56.49,-58.37,260
197939439,137.92,-101.2,-7.65,257.43
197945535,120.03,-34.13,88.73,261.29
197954935,-12.36,-3.65,54.96,262.57
197961271,-152.4,152.98,-7.88,261.29
197967384,-5.53,3.18,-152.16,260
197973466,134.39,70.61,-34.01,257.43
197979561,12.24,30.83,63.66,261.29
197985652,-93.32,-68.02,50.72,262.57
197991740,-188.29,-6.12,38.48,265.14
197997831,1.06,96.97,14.47,261.29
198003913,-13.18,121.09,-81.2,257.43
198010009,75.55,25.65,7.18,257.43
198016092,21.89,80.38,75.32,262.57
198022181,-122.62,86.61,79.55,263.86
198028279,-213,18.01,-82.96,262.57
198036326,3.18,-93.44,-99.67,261.29
198042426,98.62,35.77,14.24,260
198048515,12.94,-38.25,104.03,260
198054610,-4,-68.02,83.91,262.57
