time_us,ax,ay,az,D
317433322,-105.79,23.42,77.67,262.57
317439612,-87.55,36.6,4.71,261.29
317445703,-2.35,15.77,-23.54,260
317451786,89.67,-1.18,-48.37,257.43
317457870,153.22,1.06,11.41,256.15
317463961,64.96,40.6,55.19,260
317470050,-114.62,57.07,11.89,260
317476146,-151.45,30.01,-73.2,260
317482242,-31.42,-16.12,-95.56,260
317492445,106.38,-42.01,34.95,257.43
317498925,78.61,-8,100.5,260
317505017,-47.19,36.25,83.32,262.57
317511112,-71.9,57.19,8.47,260
317517194,12.12,20.36,-96.97,257.43
317523286,82.38,-2.59,-75.55,257.43
317529370,109.21,-20.48,-24.6,257.43
317535482,-2.12,-25.77,61.9,262.57
317541566,-127.68,30.01,44.37,263.86
317547664,-166.99,20.01,14.95,262.57
317553762,15.65,0.35,-38.36,260
317559846,110.85,-5.53,-32.36,257.43
317565937,155.93,-38.13,60.72,256.15
317572036,20.48,9.65,72.61,260
317580268,-124.39,64.02,-23.42,261.29
317586383,-94.5,8,-113.21,260
317592471,-29.3,-11.65,-92.97,256.15
317598564,108.74,-36.6,-6.59,257.43
317604654,45.9,-63.43,84.85,262.57
317610746,-74.26,54.49,98.85,260
317616836,-93.79,61.31,43.31,262.57
317622926,3.88,3.18,-71.31,257.43
317629004,108.03,6.71,-105.56,254.86
317635101,144.86,-9.18,-26.83,260
317641205,42.13,-13.42,52.01,261.29
317647296,-96.73,30.13,33.3,263.86
317653388,-163.1,31.77,9.3,261.29
317659479,-82.02,10.24,-40.36,261.29
317669120,118.39,-26.83,2.94,256.15
317675500,116.03,-40.83,94.85,257.43
317681601,-14.47,24.83,84.61,261.29
317687697,-103.68,66.02,-16.59,260
317693794,-47.78,30.95,-108.03,257.43
317699892,43.42,-23.3,-97.32,257.43
317705983,90.14,-33.19,-15.65,260
317712074,27.77,-25.42,83.79,261.29
317718167,-110.38,35.07,87.2,262.57
317724264,-113.68,49.66,19.18,260
317730362,14,18.71,-31.66,257.43
317736452,110.62,-2.12,-74.14,257.43
317742558,159.69,-1.65,0.82,256.15
317750527,-30.36,26.48,32.71,262.57
317756634,-132.39,46.37,-9.77,265.14
317762726,-155.46,7.65,-43.66,261.29
317768820,-62.02,-21.77,-43.31,260
317774909,99.32,-27.65,10.71,257.43
317781001,109.32,-23.89,113.91,260
317787106,-29.42,48.25,89.67,261.29
317793198,-88.73,62.61,-11.3,262.57
317799289,-10.71,33.3,-106.15,260
317805386,42.95,-8.59,-124.74,257.43
317811478,103.09,-32.48,-24.71,260
317817576,-2,-41.31,81.91,261.29
317823659,-131.21,41.54,73.08,262.57
317829757,-162.16,23.89,17.89,260
317838856,92.97,24.12,-50.01,257.43
317845214,109.09,22.36,-18.95,256.15
317851324,127.68,11.41,36.13,257.43
317857424,-12,40.6,35.07,262.57
317863514,-129.33,47.54,-27.07,262.57
317869613,-121.09,6,-86.02,262.57
317875703,36.83,-26.6,-49.66,256.15
317881795,106.38,-34.6,37.3,257.43
317887892,78.37,-25.3,109.68,261.29
317893991,-63.08,48.01,87.2,261.29
317900083,-91.44,45.78,-25.89,261.29
317906175,39.54,29.07,-82.38,257.43
317912267,101.79,11.41,-77.67,254.86
317920223,108.85,-40.36,33.19,260
317926335,-64.37,6.71,51.07,263.86
317932420,-144.39,31.19,31.89,263.86
317938520,-91.44,15.06,-23.89,261.29
317944625,38.48,12.83,-25.07,260
317950716,132.86,-7.53,2.71,257.43
317956800,168.99,28.83,66.96,257.43
317962898,-34.95,36.13,51.66,260
317968991,-122.5,53.78,-16.12,261.29
317975090,-91.08,22.36,-102.62,257.43
317981189,25.89,-27.65,-94.5,257.43
317987281,66.14,-50.48,52.6,260
317993371,38.25,-12.12,91.32,260
317999462,-80.38,57.19,80.96,262.57
318008547,-49.78,37.07,-21.18,257.43
318014847,106.97,11.89,-94.73,257.43
318020951,147.69,-7.53,-61.43,256.15
318027043,44.72,-20.48,38.13,260
318033133,-98.03,38.72,43.31,265.14
318039224,-154.16,28.01,3.88,262.57
318045315,-141.92,13.53,-56.84,260
318051414,17.65,-21.65,-18.36,256.15
318057506,135.33,-12.47,33.19,257.43
318063606,119.44,9.65,75.55,261.29
318069699,-71.67,85.67,49.78,260
318075789,-115.33,57.31,-79.9,261.29
318081890,-21.06,12,-120.27,260
318089865,82.14,-33.77,-63.78,257.43
318095973,52.01,-66.61,87.08,260
318102063,-63.9,-20.48,92.03,262.57
318108154,-146.98,51.07,32.24,261.29
318114254,-42.25,49.54,-11.89,261.29
318120346,65.08,35.42,-76.96,257.43
318126437,186.4,-1.65,-26.95,256.15
318132529,101.91,-12.83,29.89,260
318138627,-84.38,12.94,20.83,263.86
318144718,-143.57,28.36,-12.59,262.57
318150833,-121.09,2.82,-80.49,261.29
318156925,12,-11.3,-44.25,257.43
318163016,99.67,-49.07,46.37,256.15
318169108,71.9,-30.6,91.91,260
318178066,-92.5,60.37,22.71,261.29
318184377,-47.66,38.25,-68.73,257.43
318190474,59.19,-2.94,-116.5,256.15
318196567,110.5,-35.42,-68.61,260
318202664,39.31,-38.25,81.43,260
318208755,-77.32,0.94,68.96,263.86
318214841,-156.75,33.3,28.71,262.57
318220940,-57.9,17.3,-8.71,260
318227023,76.37,8.47,-43.54,254.86
318233107,130.98,-1.65,-7.65,256.15
318239192,127.56,-31.89,36.48,260
318245289,-69.9,57.07,19.53,262.57
318251395,-131.33,44.01,-29.18,262.57
318257494,-80.73,-11.53,-87.32,260
318265442,76.73,-40.36,-23.3,256.15
318271549,91.44,-57.66,92.73,261.29
318277640,-23.54,13.77,99.91,261.29
318283732,-85.91,71.55,66.02,261.29
318289824,-7.77,35.66,-48.25,260
318295908,67.08,24.6,-94.14,257.43
318301999,135.45,-23.3,-74.02,256.15
318308098,71.08,-17.65,29.07,260
318314188,-26.83,6.59,58.49,265.14
318320272,-148.86,32.01,33.3,263.86
318326371,-153.93,19.42,-33.42,260
318332469,65.67,-20.83,-38.72,256.15
318338561,142.04,-13.06,24.24,257.43
318347492,37.19,30.01,56.6,261.29
318353795,-75.9,53.43,5.53,262.57
318359901,-128.27,44.84,-65.67,260
318365999,-42.13,-0.47,-93.79,256.15
318372083,87.67,-35.19,-63.55,256.15
318378176,59.43,-57.43,77.9,260
318384266,-25.65,15.89,109.09,261.29
318390365,-85.08,49.9,45.54,262.57
318396455,-47.54,42.01,-4.24,260
318402538,50.37,17.06,-75.08,257.43
318408627,132.74,-4.71,-44.72,257.43
318414720,109.32,-12.59,-9.06,261.29
318420812,-70.37,14.83,28.01,261.29
318426903,-151.1,44.13,32.01,261.29
318434860,-117.68,11.77,-47.07,261.29
318440975,50.48,-9.53,-38.36,260
318447059,117.56,-23.42,-0.71,257.43
318453150,77.32,10.94,75.55,257.43
318459254,-6.12,50.6,82.02,262.57
318465337,-66.96,56.37,2.71,262.57
